video_id,title,channel,topic
IRQR5foSUSI,Yunchan Lim: Tiny Desk Concert,NPR Music,기타
Ncc5_TUquB0,그녀의 모든 말이 절 긴장시키네요. 설렘 가득한 주병진의 두 번째 맞선~ #highlight #이젠사랑할수있을까 EP.2,tvN STORY 티비엔 스토리,기타
1US8DSkxLTU,가을 날씨를 처음 경험해 본 필리핀 장인장모님과 처남 😂 한국의 모든것이 신기하다는 가족들,조와부부 필리핀 JOWATV,기타
6wYQxhk-084,언니 몰래 야식 먹방,나는 마루,기타
nYzmsJ43eGE,팔복이 성별이 나왔습니다~!!!!!,아뽀TV,기타
6JmK3MJ161o,🥬8포기 김장🥬이하연 김치명인의 2024 김장! 명인의 김장 비법 재료 모두 공개!,김치쌤 이하연,기타
cEDkV2JTN3E,우즈벡 처가식구를 감동의 눈물바다에 빠뜨린 한국인의 정 (우즈베키스탄 국제커플),우즈벡 라이프 UZBEK LIFE 우라티비,기타
ef8aNlSyQwE,양봉장에 2달간 눌러앉았던 진돗개 원래 집 찾아가기,프응TV Honeybeefather,기타
w0Zvilupd0A,한식을 처음 먹어본 우크라이나 가족들과 오랜만에 먹는 쌍둥이 언니,한국사는따냐 Tanya in Korea,기타
MPcUGG8zvrc,새로운 왕조의 탄생 [T1scord 2024 Ep.18],T1,기타
9-7qOLHYTIY,Three goals to stay on #1 | Kuwait - Korea Republic | Highlights #AsianQualifiers - Road To 26,AFC Asian Cup,기타
0E1VIbBuAtI,정준하 정수빈vs이수근 김보미 혼성경기_(짜장면 야무지게 먹어야지~),이수근채널 - 수근이의 취미 생활,스포츠
tw_gpzbVMmM,엔젤님 앞에서 삐끼삐끼 췄습니다 - 우왁굳z 핫클립,우왁굳 Z,게임
XDypu3RFi9M,숨막히는 수능 당일 가채점 결과 발표,빠더너스 BDNS,기타
xsLHKXrizHY,한국으로 시집간 동생의 신혼집을 처음 와봤더니 신기한 것들이 너무 많은 외국인 처형,예나러브 [Jun & Yena],기타
0lR6wgjmze4,"(SUB) [전지적 할부지 시점] ep.198 ""할부지 이즈 백!"" 폭포에 머리 감는 후이부터 야근하는 루이까지🐼 바오패밀리의 일상이 가득💕│ Panda World",말하는동물원 뿌빠TV,기타
zKffPXQAIrY,서울먹방VLOG+한입혜영😋3화)삼겹살+닭발+물냉면 인생꿔바로우+치즈폭탄누룽지통닭+요거트월드 불닭볶음면 청와옥 진저베어 도레도레 롯데호텔X봄날엔콜라보 2박3일서울여행❤️MUKBANG,여수언니 정혜영 [Yeosu Unnie],자동차/교통
Qb-lde1Pt7w,정동원 - 고리｜야외녹음실｜Beyond the Studio｜Jeong Dong Won - Loop of Love | LIVE,1theK Live - 원더케이 라이브,기타
JwZpUoI0VsY,"[먹방브이로그#104] 앞으로 내 퍼스널컬러는 국물닭발이다..❤️‍🔥요즘 유행하는거 다~~가져옴😎맵슐랭,던킨두바이,신라면투움바,동파육+짜장면,밤티라미수,마시멜로우케이크,스모어초콜릿",살빼조DietJo,기타
A19_NOnIa_A,"[ENG/JPN] GD에 제대로 미친(positive) 남자, 미미미누 (feat. 전설의 5수 고대생 그 발표) | TXT(투모로우바이투게더) 수빈 | 지드래곤 | 최애의 최애",Pixid,음악
rP1O034WhCc,[EN] 섬세한 I들은 핑계고ㅣEP.61,뜬뜬 DdeunDdeun,자동차/교통
h21pp5-k9SA,Stray Kids 『GIANT』 Music Video,Stray Kids Japan Official YouTube,기타
S4xcogsEqN0,이수연(Lee Su Yeon) – 내 이름 아시죠 [불후의 명곡2 전설을 노래하다/Immortal Songs 2] | KBS 241109 방송,KBS 레전드 케이팝,음악
OtWlwQpVcUM,영국을 떠나는 현실적인 이유.,연국의 내일 Plan B Yeonguk,자동차/교통
7SjqUltg-zU,새벽에 자전거 타고 나타나는 공사 출신 베테랑 기장의 하루,에어부산,기타
MyQSacF1OSo,[박수홍 행복해다홍] 제왕절개 회복기 | 조리원 일상 | 출산 후 변화 | 아기가 주는 행복 | 신생아 | 육아 시작 |,박수홍 행복해다홍,기타
k9S5ethsq1s,"하루 동안 빼빼로만 11,111칼로리 먹기!! (w.백앤아 아름)",박씨집안,기타
7YuSt52__w4,"데뷔 25주년 파티🎉 세얼간이부터 미우새 식구들까지 총집합! 한혜진 찐친들과 함께하는 좌충우돌 달력 화보 촬영기｜박나래, 이시언, 엄지윤, 세얼간이",한혜진 Han Hye Jin,기타
D8BnzmB23VI,야 나 이거 썸 맞지?!,총몇명,기타
uOzcSOSGb3w,[미션 임파서블: 파이널 레코닝] 1차 예고편,ParamountKR,자동차/교통
08ToZ_pcPK0,"(SUB) 성공한 덕후 연습생 재중, 김준수 선배를 만나다 [JX 콘서트 오디션] | 밀키보이즈 EP.07",Chilsung Label / 칠성 레이블,기타
RJLsTABvPl8,[인기급상승] 만능 '생강청' 정말 쉬워요! 요즘 햇생강✔️ 놓치지 마시고 꼭 만들어두세요~ (+헴마 행주 공구),땅끝마을 임선생,자동차/교통
1AaXA5BfL-w,누나 진짜 저랑 김치 사업 하시죠? (with 양념팍 박준면) [Eng sub],덱스101,기타
8T_BFKMrulQ,[#이제혼자다] 긍정 끝판왕 벤도 순식간에 무너진 이혼의 상처! 그녀를 크게 괴롭힌 결혼 생활의 진실 #TV조선조이 #TVCHOSUNJOY (TV CHOSUN 241112 방송),TVCHOSUN JOY,기타
rLONVhJNHtc,[더 딴따라] 딴따라계 슈퍼카🚗 등장이오! 박진영 은퇴까지 걸게 만든 ✨유우 - 새벽비✨  [더 딴따라] | KBS 방송,더 딴따라 THE DDANDDARA,교육
B1qq8IvzSz4,NCT DREAM 엔시티 드림 'When I’m With You' MV,SMTOWN,기타
lrYa8SKeudE,[캡틴 아메리카: 브레이브 뉴 월드] '보이지 않는 위협' 예고편,MarvelKorea,기타
trC4DC3gAwo,멍청한 바람둥이,짧은대본 ShortPaper,기타
UHE1Aduubu8,육식맨 선정 서울 최고의 소시지 맛집 공개합니다 (광고 아님),잡식맨 JOBXICMAN,기타
WumK6R8ER-4,갈림길에서 고민 될 때! 논나가 딱 정해드립니다. [연애 · 결혼 · 육아 · 인간관계],밀라논나 Milanonna,기타
nPRKSxlh0rQ,"나 이불킥하게 만든 정지선 씨, 이리 와봐유!",백종원 PAIK JONG WON,기타
qGuvQuzvg2o,외국인들 사이에서 유명한 한국에 가야 먹을 수 있는 음식🥄ㅣ돈슐랭 / 14F,14F 일사에프,기타
FX8kjBbEYTs,[2024 PLAVE BIRTHDAY GIFT] 예준 - 숲 (원곡 : 최유리),PLAVE 플레이브,게임
7RNFuVEA-Mk,[밥묵자]코리안 좀비 VS 코리안 무좀(feat. 정찬성),꼰대희,자동차/교통
m6IeF3eSR-4,아 문제 뭘 내지,킥서비스,음악
y39emoLP7ac,[MV] JANG BEOM JUN(장범준) _ APT(아파트),1theK (원더케이),음악
Z1Jj1YYzPz8,[SUB] 감성으로 시작해서 스릴러로 끝난 TXT의 힐링 캠프⛺ | 아이돌 인간극장,아이돌 인간극장,게임
mZHFwgerMBk,[VLOG] 전주에서 생긴 일 (말 배우기 시작한 20개월),리쥬라이크 LIJULIKE,기타
