comment_id,parent_id,author,text,likes,is_reply,video_id,video_title,provocatiStimulusveness
UgyWW0n5LaGjgRsHNnp4AaABAg.AB10L6b_tQ6AB8hBpkiCgV,UgyWW0n5LaGjgRsHNnp4AaABAg,@KSC84TV,진짜 연기 천재!!!,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgyWW0n5LaGjgRsHNnp4AaABAg.AB10L6b_tQ6ABAM2Jd2lPI,UgyWW0n5LaGjgRsHNnp4AaABAg,@mjK-q5g,표정연기 비교되네요<br>김태리는 좀 어정쩡 어색하지만<br>이병헌은 실제같음,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg,,@행복한쎄세랜드,전쟁포로였던분 도움요청 전화도 끊어버리는 대한민국 대사관!,10965,False,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB-vwr9BFy6,UgxIjPfff_-KY3VVkJ54AaABAg,@_123a,항상 여자가 껴있지 논란의중심 아! 그분들 몰려올라,426,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0-aoVgEIv,UgxIjPfff_-KY3VVkJ54AaABAg,@머더퍼커-u4m,그때는 공식적으로 탈북자를 받을수없어서 통화 는 메뉴얼 대로 도와줄수없다하고끊고 국정원 블랙요원이 바로찾아가서 도와줘서 한국에 무사히 오셨습니다,169,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB01NHBEgUo,UgxIjPfff_-KY3VVkJ54AaABAg,@몽구리-i8k,​@@머더퍼커-u4m 증거좀,303,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB035Cw2Vmo,UgxIjPfff_-KY3VVkJ54AaABAg,@웃어보하람,​@@머더퍼커-u4m 개소리좀 마세요 당사자가 후에 국내언론이랑 인터뷰도 했는데 무슨 ㅉ,524,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB048dbjNig,UgxIjPfff_-KY3VVkJ54AaABAg,@1티어,@@머더퍼커-u4m 소설 싸지르고 있네. 어휴... 그 잘난 증거좀 대보슈. 링크 찍어봐. 그럼 시원하게 사과해드리지. <br> 증거가 없으면 뭐다? 그냥 인터넷에 똥만 싸지르는 드러운 인간이다.,57,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB05DhqWofK,UgxIjPfff_-KY3VVkJ54AaABAg,@머더퍼커-u4m,@@몽구리-i8k 구글에 검색하면 바로나와요 밝히지 않은 검은 정장의 남성[17]으로부터 장무환의 명의로 된 여권을 받았다.,0,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0ACEZcYgL,UgxIjPfff_-KY3VVkJ54AaABAg,@enenenen1374,@@몽구리-i8k국정원에서 그럼 우리가 몰래 빼왔어요~ 언론보도하냐? ㅋㅋㅋㅋㅋ,90,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0HyoY594Y,UgxIjPfff_-KY3VVkJ54AaABAg,@busybee10,그럼 누가 데려왔게 멍청한대로 살아라,21,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0L0we3dgs,UgxIjPfff_-KY3VVkJ54AaABAg,@gom7893,"국정원 말고 누가 데려왔을지 가늠도 안가는데, 그정도 영향력있는 기관이 더 있나.",18,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0YxSKC31f,UgxIjPfff_-KY3VVkJ54AaABAg,@영왕-i6q,육군포로: 6.25 전쟁때 북으로 끌려간 육군포로인데 지금 북에서 탈출 했습니다 도와 줄수없겠습니까?<br><br>대사관 여직원:어쩌라구요 몰라요 (존나 짜증내면서..)<br><br>60~70대 노병 이였음 <br><br>찾아보면 영상 나올껄.<br><br>위내용은 다 틀리긴했는데 <br> 장무환 찍으면 나옴,161,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0lDE0Pwgj,UgxIjPfff_-KY3VVkJ54AaABAg,@taktaklal2410,고졸수준 공무원한테 기대 왜함? 억울하면 이민가라,7,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
UgxIjPfff_-KY3VVkJ54AaABAg.AB-Q2MsOplkAB0so4ZQicV,UgxIjPfff_-KY3VVkJ54AaABAg,@ya-ex8ey,​@@머더퍼커-u4m아닌데 뒤졌는디😂,7,True,xJZXciLjiic,외국에서 문제가 생기면 대사관에 가야하는 이유,7
